Site,Lon,Lat
Ale,25.860281,40.818328
Ber,4.77,60.65
Brd,-0.101221,54.067267
Cor,-8.221349,51.745339
Cro,1.319616,52.961703
Eye,-2.07,55.88
Flo,8.787681,58.381195
Gul,11.33,58.25
Heb,-7.280772,57.788528
Hel,7.9,54.18
Hoo,-6.921396,52.10113
Idr,-1.250001,46.13
Iom,-4.468043,54.100994
Ios,-6.354807,49.912483
Jer,-2.12,49.16
Kav,11.37,58.33
Kil,-9.77,53.28
Laz,12.610111,41.429415
Loo,-4.406933,50.317795
Lyn,-4.646238,52.939362
Lys,11.37,58.26
Mul,-10.15,54.19
Oos,3.7,51.61
Ork,-2.606335,58.973544
Pad,-4.973429,50.592473
Pem,-5.29,51.81
Sar,8.883958,41.29606
Sbs,-0.259053,50.800414
She,-1.4,60.17
Sin,11.12,59.08
Sky,24.492228,38.764877
Sul,-6.16,59.09
The,22.88,40.36
Tor,23.54,40.17
Tro,9.15,63.76
Ven,-10.327506,52.089262
Vig,-8.99,42.49
